uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy,publicationDate,release
d8e5bd6b-6703-444d-a891-c43038ef7b8a,BART_073.basePlot.ltr,D01,BART,BART_073,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART073409.20161010.LVS|NEON.LTR.BART073539.20161010.LVS,NEON.LTR.BART073.20161010.LVS,NEON.LTR.BART073.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART073.20161010.LVS.AR,A00000368113,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
91fc5e4f-a5f8-4571-9188-dbfdb1748b1d,BART_032.basePlot.ltr,D01,BART,BART_032,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART032293.20161010.LVS,NEON.LTR.BART032.20161010.LVS,NEON.LTR.BART032.20161010.LVS.CN,NA,NEON.LTR.BART032.20161010.LVS.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
c9363118-7d0d-4081-9916-dbf0ddc9293a,BART_032.basePlot.ltr,D01,BART,BART_032,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART032293.20161010.NDL,NEON.LTR.BART032.20161010.NDL,NEON.LTR.BART032.20161010.NDL.CN,NA,NA,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
c4c4dbaf-b121-49b2-922c-4a9dbde10ab1,BART_071.basePlot.ltr,D01,BART,BART_071,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART071382.20161010.NDL|NEON.LTR.BART071952.20161010.NDL,NEON.LTR.BART071.20161010.NDL,NEON.LTR.BART071.20161010.NDL.CN,NA,NA,NA,NEON.LTR.BART071.20161010.NDL.AR,A00000368115,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
28de8b4d-f83a-4193-9659-aa35f8611cc3,BART_070.basePlot.ltr,D01,BART,BART_070,2016-09-19,2016-10-11,NA,2016-11-16,NEON.LTR.BART070553.20161011.NDL|NEON.LTR.BART070790.20161011.NDL,NEON.LTR.BART070.20161011.NDL,NEON.LTR.BART070.20161011.NDL.CN,NA,NA,NA,NEON.LTR.BART070.20161011.NDL.AR,A00000368117,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
64be8fa9-6c2a-4f23-8d61-f78f702b1349,BART_033.basePlot.ltr,D01,BART,BART_033,2016-09-19,2016-10-11,NA,2016-11-17,NEON.LTR.BART033923.20161011.NDL|NEON.LTR.BART033453.20161011.NDL,NEON.LTR.BART033.20161011.NDL,NEON.LTR.BART033.20161011.NDL.CN,NA,NA,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
b44bb543-0f8a-4eac-bb99-f80824e73a5c,BART_033.basePlot.ltr,D01,BART,BART_033,2016-09-19,2016-10-11,NA,2016-11-17,NEON.LTR.BART033923.20161011.LVS|NEON.LTR.BART033453.20161011.LVS,NEON.LTR.BART033.20161011.LVS,NEON.LTR.BART033.20161011.LVS.CN,NA,NEON.LTR.BART033.20161011.LVS.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
d270b126-6d96-4730-a3cb-2ee21c150794,BART_070.basePlot.ltr,D01,BART,BART_070,2016-09-19,2016-10-11,NA,2016-11-17,NEON.LTR.BART070553.20161011.LVS|NEON.LTR.BART070790.20161011.LVS,NEON.LTR.BART070.20161011.LVS,NEON.LTR.BART070.20161011.LVS.CN,NA,NA,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
f300e78e-49b2-42bf-8bb8-e69f6f86cf0f,BART_047.basePlot.ltr,D01,BART,BART_047,2016-09-20,2016-10-10,NA,2016-11-17,NEON.LTR.BART047046.20161010.NDL|NEON.LTR.BART047864.20161010.NDL,NEON.LTR.BART047.20161010.NDL,NEON.LTR.BART047.20161010.NDL.CN,NA,NA,NA,NEON.LTR.BART047.20161010.NDL.AR,A00000368122,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
4dc00861-7e32-466c-8721-45719215f137,BART_051.basePlot.ltr,D01,BART,BART_051,2016-09-20,2016-10-10,NA,2016-11-17,NEON.LTR.BART051574.20161010.LVS,NEON.LTR.BART051.20161010.LVS,NEON.LTR.BART051.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART051.20161010.LVS.AR,A00000368119,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
9444275f-3240-4ec6-aeea-43cfd6c1c6c3,BART_051.basePlot.ltr,D01,BART,BART_051,2016-09-20,2016-10-10,NA,2016-11-17,NEON.LTR.BART051574.20161010.NDL,NEON.LTR.BART051.20161010.NDL,NEON.LTR.BART051.20161010.NDL.CN,NA,NA,NA,NEON.LTR.BART051.20161010.NDL.AR,A00000368118,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
1cdcde09-37b0-4c51-b9e0-bf7d3f979f21,BART_047.basePlot.ltr,D01,BART,BART_047,2016-09-20,2016-10-10,NA,2016-11-17,NEON.LTR.BART047046.20161010.LVS|NEON.LTR.BART047864.20161010.LVS,NEON.LTR.BART047.20161010.LVS,NEON.LTR.BART047.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART047.20161010.LVS.AR,A00000368123,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
6c75e037-31ad-4eeb-bb20-eb9986e0fbcb,BART_040.basePlot.ltr,D01,BART,BART_040,2016-09-20,2016-10-10,NA,2016-11-17,NEON.LTR.BART040158.20161010.LVS|NEON.LTR.BART040884.20161010.LVS,NEON.LTR.BART040.20161010.LVS,NEON.LTR.BART040.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART040.20161010.LVS.AR,A00000368129,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
48650caf-3088-499d-8a47-2641061d25b2,BART_044.basePlot.ltr,D01,BART,BART_044,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART044410.20161011.NDL|NEON.LTR.BART044531.20161011.NDL,NEON.LTR.BART044.20161011.NDL,NEON.LTR.BART044.20161011.NDL.CN,NA,NA,NA,NEON.LTR.BART044.20161011.NDL.AR,A00000368125,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
ee12fc11-99dc-4390-9f60-9ffd113ed5b2,BART_042.basePlot.ltr,D01,BART,BART_042,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART042935.20161011.NDL|NEON.LTR.BART042587.20161011.NDL,NEON.LTR.BART042.20161011.NDL,NEON.LTR.BART042.20161011.NDL.CN,NA,NEON.LTR.BART042.20161011.NDL.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
47897234-6f95-4caf-9f45-46be7a10052c,BART_072.basePlot.ltr,D01,BART,BART_072,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART072567.20161011.LVS|NEON.LTR.BART072162.20161011.LVS,NEON.LTR.BART072.20161011.LVS,NEON.LTR.BART072.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART072.20161011.LVS.AR,A00000368114,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
c4aecc48-93fd-424f-bebd-f57c4c666556,BART_074.basePlot.ltr,D01,BART,BART_074,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART074555.20161011.LVS|NEON.LTR.BART074942.20161011.LVS,NEON.LTR.BART074.20161011.LVS,NEON.LTR.BART074.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART074.20161011.LVS.AR,A00000368112,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
d102e180-2b07-4a62-957f-8f3ff6bfc82a,BART_044.basePlot.ltr,D01,BART,BART_044,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART044410.20161011.LVS|NEON.LTR.BART044531.20161011.LVS,NEON.LTR.BART044.20161011.LVS,NEON.LTR.BART044.20161011.LVS.CN,NA,NEON.LTR.BART044.20161011.LVS.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
43452733-6fcd-467d-930a-f7dea2297a03,BART_075.basePlot.ltr,D01,BART,BART_075,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART075389.20161011.LVS|NEON.LTR.BART075819.20161011.LVS,NEON.LTR.BART075.20161011.LVS,NEON.LTR.BART075.20161011.LVS.CN,NA,NEON.LTR.BART075.20161011.LVS.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
0247e7dd-84ef-4d2f-ba46-5b63e0d257af,BART_046.basePlot.ltr,D01,BART,BART_046,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART046852.20161011.LVS|NEON.LTR.BART046687.20161011.LVS,NEON.LTR.BART046.20161011.LVS,NEON.LTR.BART046.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART046.20161011.LVS.AR,A00000368124,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
d721d04e-b590-4ef0-a1dc-13eb405a3c9d,BART_072.basePlot.ltr,D01,BART,BART_072,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART072162.20161011.NDL|NEON.LTR.BART072567.20161011.NDL,NEON.LTR.BART072.20161011.NDL,NEON.LTR.BART072.20161011.NDL.CN,NA,NEON.LTR.BART072.20161011.NDL.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
7d02bcc0-303c-4eb5-9f88-7b31ae6c3382,BART_036.basePlot.ltr,D01,BART,BART_036,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART036925.20161011.NDL|NEON.LTR.BART036151.20161011.NDL,NEON.LTR.BART036.20161011.NDL,NEON.LTR.BART036.20161011.NDL.CN,NA,NA,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
ef27daf8-5f1e-4770-884a-c21b75643294,BART_037.basePlot.ltr,D01,BART,BART_037,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART037158.20161011.LVS|NEON.LTR.BART037884.20161011.LVS,NEON.LTR.BART037.20161011.LVS,NEON.LTR.BART037.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART037.20161011.LVS.AR,A00000368132,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
25cbfe4a-30e0-474d-9af8-75e82f21d533,BART_037.basePlot.ltr,D01,BART,BART_037,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART037884.20161011.NDL|NEON.LTR.BART037158.20161011.NDL,NEON.LTR.BART037.20161011.NDL,NEON.LTR.BART037.20161011.NDL.CN,NA,NA,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
22fea348-1850-472f-883b-b5ba378d9787,BART_042.basePlot.ltr,D01,BART,BART_042,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART042587.20161011.LVS|NEON.LTR.BART042935.20161011.LVS,NEON.LTR.BART042.20161011.LVS,NEON.LTR.BART042.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART042.20161011.LVS.AR,A00000368126,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
5f71e87e-fbe4-45a9-a53c-d908789f46f9,BART_050.basePlot.ltr,D01,BART,BART_050,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART050046.20161011.NDL|NEON.LTR.BART050808.20161011.NDL,NEON.LTR.BART050.20161011.NDL,NEON.LTR.BART050.20161011.NDL.CN,NA,NA,NA,NEON.LTR.BART050.20161011.NDL.AR,A00000368120,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
0e9be70d-ee7d-45b4-a7e1-c26d2fde486e,BART_050.basePlot.ltr,D01,BART,BART_050,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART050046.20161011.LVS|NEON.LTR.BART050808.20161011.LVS,NEON.LTR.BART050.20161011.LVS,NEON.LTR.BART050.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART050.20161011.LVS.AR,A00000368121,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
1c25e36a-b762-41ef-9141-2674d3c6076a,BART_074.basePlot.ltr,D01,BART,BART_074,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART074555.20161011.NDL|NEON.LTR.BART074942.20161011.NDL,NEON.LTR.BART074.20161011.NDL,NEON.LTR.BART074.20161011.NDL.CN,NA,NA,NA,NEON.LTR.BART074.20161011.NDL.AR,A00000368111,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
eed44119-9927-4be1-a2ad-71ba38beb3c2,BART_075.basePlot.ltr,D01,BART,BART_075,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART075819.20161011.NDL|NEON.LTR.BART075389.20161011.NDL,NEON.LTR.BART075.20161011.NDL,NEON.LTR.BART075.20161011.NDL.CN,NA,NEON.LTR.BART075.20161011.NDL.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
018b4572-7141-493b-9ea6-20131965fb9b,BART_036.basePlot.ltr,D01,BART,BART_036,2016-09-20,2016-10-11,NA,2016-11-17,NEON.LTR.BART036925.20161011.LVS|NEON.LTR.BART036151.20161011.LVS,NEON.LTR.BART036.20161011.LVS,NEON.LTR.BART036.20161011.LVS.CN,NA,NA,NA,NEON.LTR.BART036.20161011.LVS.AR,A00000368133,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
22d9bc83-5137-4fd4-8f4b-8c9c00bd4ba6,BART_046.basePlot.ltr,D01,BART,BART_046,2016-09-20,2016-10-11,NA,2016-11-16,NEON.LTR.BART046687.20161011.NDL,NEON.LTR.BART046.20161011.NDL,NEON.LTR.BART046.20161011.NDL.CN,NA,NA,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
b866f066-c608-4c50-81ef-61676b7a9802,BART_036.basePlot.ltr,D01,BART,BART_036,2022-04-12,2022-05-10,LTR.2022.BART.19,2022-11-02,NEON.LTR.BART036151.20220510.FLR,NEON.LTR.BART.2022.FLR,NEON.LTR.BART.2022.FLR.CN,A00000154966,NEON.LTR.BART.2022.FLR.LIG,A00000154998,NEON.LTR.BART.2022.FLR.AR,A00000154919,8.7,N,NA,0000-0002-7782-1339,20251206T065057Z,RELEASE-2026
b7ab7acd-2d5f-4e11-9b59-02872989f53d,BART_036.basePlot.ltr,D01,BART,BART_036,2022-05-10,2022-06-06,LTR.2022.BART.23,2022-11-02,NEON.LTR.BART036151.20220606.OTH,NEON.LTR.BART.2022.OTH,NEON.LTR.BART.2022.OTH.CN,A00000154920,NEON.LTR.BART.2022.OTH.LIG,A00000154918,NEON.LTR.BART.2022.OTH.AR,A00000154983,5.68,N,NA,0000-0002-7782-1339,20251206T035926Z,RELEASE-2026
3133ad8b-2d46-44bf-919e-1b5e8ffd9019,BART_036.basePlot.ltr,D01,BART,BART_036,2022-06-06,2022-07-05,LTR.2022.BART.27,2022-11-02,NEON.LTR.BART036151.20220705.SDS|NEON.LTR.BART036925.20220705.SDS,NEON.LTR.BART.2022.SDS,NEON.LTR.BART.2022.SDS.CN,A00000154934,NEON.LTR.BART.2022.SDS.LIG,A00000154982,NEON.LTR.BART.2022.SDS.AR,A00000154950,9.68,N,NA,0000-0002-7782-1339,20251206T041655Z,RELEASE-2026
c91edb71-4213-456d-b894-18ccc2ab8ad9,BART_071.basePlot.ltr,D01,BART,BART_071,2022-09-12,2022-09-26,LTR.2022.BART.39,2022-11-16,NEON.LTR.BART071165.20220926.NDL|NEON.LTR.BART071579.20220926.NDL,NEON.LTR.BART071.20220926.NDL,NEON.LTR.BART071.20220926.NDL.CN,A00000154980,NEON.LTR.BART071.20220926.NDL.LIG,A00000154964,NEON.LTR.BART071.20220926.NDL.AR,A00000154948,3.24,N,NA,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
00dcd291-8da5-4c2e-b176-89b2ba4e6511,BART_047.basePlot.ltr,D01,BART,BART_047,2022-09-12,2022-09-26,LTR.2022.BART.39,2022-11-17,NEON.LTR.BART047046.20220926.NDL|NEON.LTR.BART047864.20220926.NDL,NEON.LTR.BART047.20220926.NDL,NEON.LTR.BART047.20220926.NDL.CN,A00000154930,NA,NA,NA,NA,NA,N,1.54 grams. Sample not ground.,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
94d91d46-8c36-4104-928b-3686899c48f5,BART_073.basePlot.ltr,D01,BART,BART_073,2022-09-12,2022-09-26,LTR.2022.BART.39,2022-11-17,NEON.LTR.BART073539.20220926.NDL|NEON.LTR.BART073409.20220926.NDL,NEON.LTR.BART073.20220926.NDL,NEON.LTR.BART073.20220926.NDL.CN,A00000154996,NEON.LTR.BART073.20220926.NDL.LIG,A00000154917,NA,NA,NA,N,NA,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
b2d28ef4-413d-420b-b5c6-c041d2eb8b57,BART_042.basePlot.ltr,D01,BART,BART_042,2022-09-12,2022-09-27,LTR.2022.BART.39,2022-11-17,NEON.LTR.BART042935.20220927.NDL|NEON.LTR.BART042587.20220927.NDL,NEON.LTR.BART042.20220927.NDL,NEON.LTR.BART042.20220927.NDL.CN,A00000154963,NEON.LTR.BART042.20220927.NDL.LIG,A00000154947,NA,NA,NA,N,NA,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
dfe0b073-69df-43aa-9498-f311add98f25,BART_044.basePlot.ltr,D01,BART,BART_044,2022-09-12,2022-09-27,LTR.2022.BART.39,2022-11-16,NEON.LTR.BART044531.20220927.NDL|NEON.LTR.BART044410.20220927.NDL,NEON.LTR.BART044.20220927.NDL,NEON.LTR.BART044.20220927.NDL.CN,A00000154946,NEON.LTR.BART044.20220927.NDL.LIG,A00000154978,NA,NA,NA,N,NA,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
0bb0532a-c6f7-41c7-9604-2281351e7aad,BART_046.basePlot.ltr,D01,BART,BART_046,2022-09-12,2022-09-27,LTR.2022.BART.39,2022-11-17,NEON.LTR.BART046634.20220927.NDL|NEON.LTR.BART046852.20220927.NDL,NEON.LTR.BART046.20220927.NDL,NEON.LTR.BART046.20220927.NDL.CN,A00000154962,NA,NA,NA,NA,NA,N,0.37 grams. Sample not ground.,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
878bb436-7899-4542-902f-62d4cdfbb756,BART_050.basePlot.ltr,D01,BART,BART_050,2022-09-12,2022-09-27,LTR.2022.BART.39,2022-11-02,NEON.LTR.BART050046.20220927.NDL|NEON.LTR.BART050808.20220927.NDL,NEON.LTR.BART050.20220927.NDL,NEON.LTR.BART050.20220927.NDL.CN,A00000154931,NEON.LTR.BART050.20220927.NDL.LIG,A00000154915,NEON.LTR.BART050.20220927.NDL.AR,A00000154994,6.31,N,NA,0000-0002-7782-1339,20251206T034210Z,RELEASE-2026
363f1d6a-54eb-4a06-9809-13eff0b5cc46,BART_074.basePlot.ltr,D01,BART,BART_074,2022-09-12,2022-09-27,LTR.2022.BART.39,2022-11-17,NEON.LTR.BART074942.20220927.NDL|NEON.LTR.BART074555.20220927.NDL,NEON.LTR.BART074.20220927.NDL,NEON.LTR.BART074.20220927.NDL.CN,A00000154949,NA,NA,NA,NA,NA,N,1.25 grams. Sample not ground.,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
acc72263-aa3a-450b-adae-1da109fd4371,BART_036.basePlot.ltr,D01,BART,BART_036,2022-09-12,2022-09-27,LTR.2022.BART.39,2022-11-17,NEON.LTR.BART036925.20220927.NDL|NEON.LTR.BART036151.20220927.NDL,NEON.LTR.BART036.20220927.NDL,NEON.LTR.BART036.20220927.NDL.CN,A00000154979,NA,NA,NA,NA,NA,N,0.55 grams. Sample not ground.,0000-0003-1933-3182,20251206T034210Z,RELEASE-2026
b28d285a-35b4-4296-95ef-0ad92b5a7747,BART_047.basePlot.ltr,D01,BART,BART_047,2022-10-10,2022-10-24,LTR.2022.BART.43,2022-11-02,NEON.LTR.BART047046.20221024.LVS|NEON.LTR.BART047864.20221024.LVS,NEON.LTR.BART047.20221024.LVS,NEON.LTR.BART047.20221024.LVS.CN,A00000154914,NEON.LTR.BART047.20221024.LVS.LIG,A00000154990,NEON.LTR.BART047.20221024.LVS.AR,A00000154911,8.26,N,NA,0000-0003-1933-3182,20251206T064811Z,RELEASE-2026
82bc0be0-5050-4473-9ba0-0f921a504add,BART_071.basePlot.ltr,D01,BART,BART_071,2022-10-10,2022-10-24,LTR.2022.BART.43,2022-11-02,NEON.LTR.BART071579.20221024.LVS|NEON.LTR.BART071165.20221024.LVS,NEON.LTR.BART071.20221024.LVS,NEON.LTR.BART071.20221024.LVS.CN,A00000154926,NEON.LTR.BART071.20221024.LVS.LIG,A00000154910,NEON.LTR.BART071.20221024.LVS.AR,A00000154989,8.08,N,NA,0000-0003-1933-3182,20251206T064811Z,RELEASE-2026
90490980-73ad-4a3e-9419-b8df26201251,BART_040.basePlot.ltr,D01,BART,BART_040,2022-10-10,2022-10-24,LTR.2022.BART.43,2022-11-02,NEON.LTR.BART040884.20221024.LVS|NEON.LTR.BART040158.20221024.LVS,NEON.LTR.BART040.20221024.LVS,NEON.LTR.BART040.20221024.LVS.CN,A00000154945,NEON.LTR.BART040.20221024.LVS.LIG,A00000154929,NEON.LTR.BART040.20221024.LVS.AR,A00000154913,5.61,N,NA,0000-0002-7782-1339,20251206T064811Z,RELEASE-2026
adade893-ef8c-4965-9866-8ce73cfadddf,BART_042.basePlot.ltr,D01,BART,BART_042,2022-10-10,2022-10-24,LTR.2022.BART.43,2022-11-02,NEON.LTR.BART042935.20221024.LVS|NEON.LTR.BART042587.20221024.LVS,NEON.LTR.BART042.20221024.LVS,NEON.LTR.BART042.20221024.LVS.CN,A00000154992,NEON.LTR.BART042.20221024.LVS.LIG,A00000154976,NEON.LTR.BART042.20221024.LVS.AR,A00000154960,6.69,N,NA,0000-0002-7782-1339,20251206T064811Z,RELEASE-2026
